0,Non-Profit,Social Assistance
1,Health Care,Health Care Services & Hospitals
2,Information Technology,Internet
3,Information Technology,IT Services
4,"Arts, Entertainment & Recreation",Sports & Recreation
5,Finance,Investment Banking & Asset Management
6,Insurance,Insurance Carriers
7,Finance,Venture Capital & Private Equity
8,Business Services,Research & Development
9,NULL,NULL
10,Business Services,Advertising & Marketing
11,Finance,Brokerage Services
12,Business Services,Building & Personnel Services
13,Business Services,Consulting
14,"Restaurants, Bars & Food Services",Casual Restaurants
15,Information Technology,Enterprise Software & Network Solutions
16,Finance,Lending
17,Finance,Banks & Credit Unions
18,Information Technology,Computer Hardware & Software
19,Business Services,Staffing & Outsourcing
20,Media,Motion Picture Production & Distribution
21,Accounting & Legal,Legal
22,Real Estate,Real Estate
23,Government,Federal Agencies
24,Media,TV Broadcast & Cable Networks
25,Accounting & Legal,Accounting
26,Retail,Food & Beverage Stores
27,Consumer Services,"Health, Beauty, & Fitness"
28,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
29,Insurance,Insurance Agencies & Brokerages
30,"Arts, Entertainment & Recreation",Gambling
31,Media,Video Games
32,Education,Colleges & Universities
33,Business Services,Architectural & Engineering Services
34,"Construction, Repair & Maintenance",General Repair & Maintenance
35,Business Services,Security Services
36,Media,News Outlet
37,"Construction, Repair & Maintenance",Commercial Equipment Repair & Maintenance
38,Media,Publishing
39,"Oil, Gas, Energy & Utilities",Energy
40,Retail,Other Retail Stores
41,Non-Profit,Health Fundraising Organizations
42,"Oil, Gas, Energy & Utilities",Utilities
43,Manufacturing,Consumer Products Manufacturing
44,Government,Municipal Governments
45,Manufacturing,Electrical & Electronic Manufacturing
46,Manufacturing,Industrial Manufacturing
47,Education,Preschool & Child Care
48,Aerospace & Defense,Aerospace & Defense
49,Manufacturing,Food & Beverage Manufacturing
50,Retail,Vehicle Dealers
51,Telecommunications,Telecommunications Services
52,"Construction, Repair & Maintenance",Construction
53,Finance,Financial Transaction Processing
54,Retail,Beauty & Personal Accessories Stores
55,Retail,Automotive Parts & Accessories Stores
56,Manufacturing,Chemical Manufacturing
57,Retail,"Department, Clothing, & Shoe Stores"
58,Education,K-12 Education
59,Transportation & Logistics,Transportation Management
60,Manufacturing,Miscellaneous Manufacturing
61,Transportation & Logistics,Logistics & Supply Chain
62,"Restaurants, Bars & Food Services",Catering & Food Service Contractors
63,Manufacturing,Health Care Products Manufacturing
64,Retail,Drug & Health Stores
65,Business Services,Wholesale
66,Business Services,Membership Organizations
67,"Oil, Gas, Energy & Utilities",Oil & Gas Services
68,Retail,Sporting Goods Stores
69,Retail,Gas Stations
70,Transportation & Logistics,Truck Rental & Leasing
71,Transportation & Logistics,Express Delivery Services
72,Telecommunications,"Cable, Internet & Telephone Providers"
73,Mining & Metals,Metals Brokers
74,Retail,Grocery Stores & Supermarkets
75,Retail,Pet & Pet Supplies Stores
76,Education,Education Training Services
77,Finance,Financial Analytics & Research
78,"Arts, Entertainment & Recreation",Audiovisual
79,Manufacturing,Transportation Equipment Manufacturing
80,"Restaurants, Bars & Food Services",Convenience Stores & Truck Stops
81,Consumer Services,Consumer Product Rental
82,Retail,Consumer Electronics & Appliances Stores
83,Government,State & Regional Agencies
84,Transportation & Logistics,Trucking
85,Finance,Stock Exchanges
86,Retail,Home Centers & Hardware Stores
87,Retail,General Merchandise & Superstores
88,Travel & Tourism,"Hotels, Motels, & Resorts"